prog_id,cache_references,cache_misses,miss_rate,wall_time_s,status
194,1086218,6469,0.005956,0.0899,ok
195,117449,4692,0.039949,0.0365,ok
196,50031,4917,0.098279,0.0513,ok
197,10723,3953,0.368647,0.0323,ok
198,5597608,48242,0.008618,0.1976,ok
199,10720915,24454,0.002281,0.4117,ok
200,136055065,2600674,0.019115,3.4677,ok
201,14904,5242,0.351718,0.0605,ok
202,3214389,105134,0.032707,0.1609,ok
203,3194355,131205,0.041074,0.2066,ok
204,5015643,90697,0.018083,0.33,ok
205,48408,5978,0.123492,0.0767,ok
206,28784,5203,0.18076,0.1555,ok
207,10763,5158,0.479234,0.0512,ok
208,327826338,7713321,0.023529,7.7577,ok
209,10354,4627,0.44688,0.0395,ok
210,32353483,1159983,0.035853,0.946,ok
211,518721,8559,0.0165,0.1653,ok
212,5231749,103026,0.019692,0.2559,ok
213,10551,5158,0.488864,0.0302,ok
214,11289,4556,0.403579,0.0296,ok
215,10773,5031,0.467001,0.031,ok
216,137765946,1955138,0.014192,3.5469,ok
217,1506404593,9731523,0.00646,29.2123,ok
218,5023009,42081,0.008378,0.2085,ok
219,10855,5546,0.510917,0.0446,ok
220,44883,5652,0.125927,0.0738,ok
221,12591,5796,0.460329,0.0841,ok
222,328344529,6139197,0.018697,8.2899,ok
223,3279674,81642,0.024893,0.1369,ok
224,32756368,670617,0.020473,0.789,ok
225,10324,5005,0.484793,0.0559,ok
226,17736,5030,0.283604,0.0804,ok
227,10404,5386,0.517686,0.0741,ok
228,1083782,7152,0.006599,0.1183,ok
229,56359588,879288,0.015601,2.0921,ok
230,15758,5077,0.322186,0.0645,ok
231,16762,6504,0.388021,0.0606,ok
232,3283429,60276,0.018358,0.2033,ok
233,142621437,1579862,0.011077,3.0745,ok
234,11490,4880,0.424717,0.1418,ok
235,143856130,1222839,0.0085,2.6467,ok
236,331280801,4129693,0.012466,7.3279,ok
237,118166,5185,0.043879,0.0725,ok
238,32989380,458893,0.01391,0.795,ok
239,10726708,23968,0.002234,0.4126,ok
240,15630372,75100,0.004805,0.3923,ok
241,33077530,476047,0.014392,0.7309,ok
242,10666,4866,0.456216,0.0383,ok
243,3350509,39913,0.011913,0.0961,ok
244,14311315,142494,0.009957,0.3165,ok
245,19759,6562,0.332102,0.1144,ok
246,3287298,50766,0.015443,0.152,ok
247,11036655,27897,0.002528,0.5354,ok
248,331316694,3313684,0.010002,6.9705,ok
249,55247,6342,0.114794,0.0586,ok
250,15232232,134330,0.008819,0.4136,ok
251,10941,4504,0.411663,0.0325,ok
252,152301597,766062,0.00503,2.9455,ok
253,555059,9805,0.017665,0.0517,ok
254,13238,4744,0.358362,0.0411,ok
255,1488703722,8897562,0.005977,27.3137,ok
256,10841365,18976,0.00175,0.4163,ok
257,33434414,205958,0.00616,0.6218,ok
258,20706,5954,0.28755,0.0875,ok
259,534212,7187,0.013453,0.0595,ok
260,3346430,37565,0.011225,0.1404,ok
261,15324,3596,0.234665,0.0217,ok
262,15161,3530,0.232834,0.0235,ok
